# Gene expression in TPM - median across runs per condition for study SRP063061
	48h	5 days	Upon arrival	Upon dissection
WBGene00220262	0.0	1.9	0.0	0.0
WBGene00220263	23.8	19.5	36.0	61.6
WBGene00220265	71.0	94.0	24.4	51.3
WBGene00220269	48.5	43.0	65.5	30.6
WBGene00220274	55.2	53.5	43.8	53.8
WBGene00220275	0.0	0.0	0.0	0.0
WBGene00220276	69.5	56.1	49.3	83.0
WBGene00220277	47.8	55.0	39.1	34.9
WBGene00220278	0.0	0.0	0.0	0.0
WBGene00220280	122.1	133.4	145.6	124.6
WBGene00220281	0.0	0.0	0.0	0.0
WBGene00220284	3214.8	2849.3	2305.7	2405.1
WBGene00220288	0.0	0.0	0.9	0.0
WBGene00220289	327.9	104.5	240.9	168.3
WBGene00220294	0.0	25.4	0.0	38.8
WBGene00220302	0.0	1.2	0.0	0.0
WBGene00220303	20.1	12.5	14.0	22.4
WBGene00220306	17.6	14.4	12.9	15.5
WBGene00220308	24.6	21.0	16.6	22.1
WBGene00220309	0.0	0.0	0.0	0.0
WBGene00220310	18.1	13.7	17.8	11.5
WBGene00220316	2.0	0.0	0.0	0.0
WBGene00220317	2.8	1.3	1.3	3.0
WBGene00220320	54.4	51.9	40.7	55.2
WBGene00220321	23.7	24.5	18.3	24.3
WBGene00220328	0.0	0.0	0.0	0.0
WBGene00220335	9.0	10.4	8.1	5.2
WBGene00220337	15.4	27.5	38.5	20.3
WBGene00220341	4.9	3.7	4.1	6.5
WBGene00220346	0.0	0.0	0.0	0.4
WBGene00220348	0.0	1.4	4.5	0.0
WBGene00220352	42.5	34.3	36.0	42.6
WBGene00220355	61.2	69.5	57.3	52.3
WBGene00220356	0.0	1.4	3.2	0.0
WBGene00220358	22.8	31.9	24.9	25.0
WBGene00220359	14.1	19.3	23.3	24.3
WBGene00220360	6.1	10.0	6.6	7.4
WBGene00220368	0.0	0.0	0.0	0.0
WBGene00220376	4266.5	5467.7	4604.9	3535.6
WBGene00220380	47.5	61.1	18.9	9.7
WBGene00220387	8749.7	10644.3	8988.6	7895.9
WBGene00220389	0.0	1.5	1.0	0.0
WBGene00220390	3.6	3.8	1.5	3.0
WBGene00220391	83.4	60.3	52.3	73.9
WBGene00220396	5.6	4.0	3.7	4.1
WBGene00220398	58.9	96.7	64.5	50.2
WBGene00220406	0.0	0.0	0.0	0.0
WBGene00220407	18.2	5.8	8.2	4.6
WBGene00220409	4.9	7.8	2.6	4.6
WBGene00220411	175.7	193.1	86.4	124.4
WBGene00220416	8.0	11.0	9.0	4.7
WBGene00220418	0.0	0.0	0.0	0.0
WBGene00220421	0.0	0.0	0.0	0.0
WBGene00220422	240.9	230.7	199.2	191.1
WBGene00220424	120.9	124.8	95.8	88.3
WBGene00220425	21780.5	24381.2	19397.7	20136.6
WBGene00220433	9.8	8.1	7.1	8.4
WBGene00220434	115.3	199.2	243.1	242.5
WBGene00220438	36.2	30.7	49.9	19.9
WBGene00220439	19.2	33.9	38.0	18.8
WBGene00220441	0.0	0.0	0.0	0.0
WBGene00220443	47.2	61.6	68.6	69.5
WBGene00220444	4.5	5.5	7.7	3.0
WBGene00220450	9.8	8.0	12.6	4.2
WBGene00220454	4.0	10.1	13.0	23.8
WBGene00220456	0.0	0.0	0.0	0.0
WBGene00220457	0.0	0.0	0.0	0.0
WBGene00220458	2.2	0.0	0.0	0.0
WBGene00220460	1.1	0.0	0.0	0.0
WBGene00220465	5.8	3.7	5.5	6.7
WBGene00220466	0.0	0.0	0.0	0.0
WBGene00220469	165.9	155.1	136.6	114.2
WBGene00220477	18.7	18.9	32.2	22.4
WBGene00220480	0.0	0.0	0.2	0.0
WBGene00220481	22.0	30.8	18.3	25.1
WBGene00220483	27.7	24.6	15.2	12.7
WBGene00220487	0.0	0.0	0.0	0.0
WBGene00220489	68.6	86.5	58.3	24.0
WBGene00220491	72.9	83.1	27.6	33.2
WBGene00220492	574.6	474.1	188.9	279.5
WBGene00220494	53.8	35.5	36.3	82.8
WBGene00220495	0.0	0.0	0.0	0.0
WBGene00220496	3.0	3.1	2.6	2.1
WBGene00220498	8.2	11.5	7.5	7.7
WBGene00220499	57.6	65.4	77.5	50.5
WBGene00220500	0.0	0.0	0.0	0.0
WBGene00220502	34.5	36.1	33.1	33.6
WBGene00220503	246.3	251.2	177.2	192.6
WBGene00220504	6.2	4.4	7.9	9.8
WBGene00220507	0.0	0.0	0.1	0.0
