Run	Condition	developmental_stage	genotype	strain	title	organism_part	source_name
SRR11272886	SRR11272886	L4 stage	wild type	N2(Bristol)	WT_L4_r1	whole organism	Synchronized animal population
SRR11272887	SRR11272887	L4 stage	wild type	N2(Bristol)	WT_L4_r2	whole organism	Synchronized animal population
SRR11272888	SRR11272888	L4 stage	nfki-1(cer1)X	CER178	nfki-1(cer1)_L4_r1	whole organism	Synchronized animal population
SRR11272889	SRR11272889	L4 stage	nfki-1(cer1)X	CER178	nfki-1(cer1)_L4_r2	whole organism	Synchronized animal population
SRR11272890	SRR11272890	L4 stage	ikb-1(nr2027)I	CER185	ikb-1(nr2027)_L4_r1	whole organism	Synchronized animal population
SRR11272891	SRR11272891	L4 stage	ikb-1(nr2027)I	CER185	ikb-1(nr2027)_L4_r2	whole organism	Synchronized animal population
SRR11272892	SRR11272892	L4 stage	nfki-1(cer1)X; ikb-1(nr2027)I	CER188	nfki-1(cer1)_ikb-1(nr2027)_L4_r1	whole organism	Synchronized animal population
SRR11272893	SRR11272893	L4 stage	nfki-1(cer1)X; ikb-1(nr2027)I	CER188	nfki-1(cer1)_ikb-1(nr2027)_L4_r2	whole organism	Synchronized animal population
SRR11272894	SRR11272894	L1 stage	wild type	N2(Bristol)	WT_L1_r1	whole organism	Synchronized animal population
SRR11272895	SRR11272895	L1 stage	wild type	N2(Bristol)	WT_L1_r2	whole organism	Synchronized animal population
SRR11272896	SRR11272896	L1 stage	nfki-1(cer2)X	CER187	nfki-1(cer2)_L1_r1	whole organism	Synchronized animal population
SRR11272897	SRR11272897	L1 stage	nfki-1(cer2)X	CER187	nfki-1(cer2)_L1_r2	whole organism	Synchronized animal population
SRR11272898	SRR11272898	L1 stage	ikb-1(cer9)I	CER244	ikb-1(cer9)_L1_r1	whole organism	Synchronized animal population
SRR11272899	SRR11272899	L1 stage	ikb-1(cer9)I	CER244	ikb-1(cer9)_L1_r2	whole organism	Synchronized animal population
