# Gene expression in TPM - median across runs per condition for study SRP066611
# !Ivermectin 1 uM, 5 d: Low replicates (2)
	0h	48 h	5 d	Ivermectin 1 uM, 48 h	!Ivermectin 1 uM, 5 d	Ivermectin 300 nM, 48 h	Ivermectin 300 nM, 5 d
WBGene00223395	11.3	14.3	10.5	10.7	8.9	13.2	18.7
WBGene00223396	33.6	46.7	52.5	37.6	49.5	23.9	37.7
WBGene00223398	419.3	457.3	499.6	477.9	473.7	452.4	456.2
WBGene00223399	15.2	16.9	10.4	13.2	8.8	6.9	14.1
WBGene00223400	100.6	49.1	48.0	50.0	58.5	54.7	64.0
WBGene00223401	59.8	48.2	23.4	32.0	32.3	30.8	37.1
WBGene00223402	0.2	0.0	0.0	0.0	0.1	0.1	0.2
WBGene00223403	6.5	4.8	6.6	5.9	7.7	3.9	3.4
WBGene00223404	108.2	87.7	81.1	80.9	87.2	77.1	88.3
WBGene00223405	50.6	41.4	66.0	55.8	47.4	63.3	61.1
WBGene00223406	13.0	18.0	17.2	18.6	14.5	13.3	14.4
WBGene00223407	364.9	272.1	324.0	190.6	294.1	366.9	320.0
WBGene00223408	134.4	114.7	99.7	123.3	81.9	124.7	95.1
WBGene00223409	37.3	30.8	20.0	23.2	15.7	21.8	18.8
WBGene00223410	4.3	5.8	2.7	5.8	5.3	11.6	5.9
WBGene00223411	280.5	258.1	234.6	218.5	244.4	264.3	253.8
WBGene00223412	29.8	32.0	36.7	38.7	37.2	35.2	37.0
WBGene00223413	191.4	172.4	142.1	167.6	167.0	169.0	150.5
WBGene00223414	31.6	33.9	29.7	29.0	16.1	12.2	45.8
WBGene00223415	124.1	109.4	97.8	118.5	103.2	101.2	103.7
WBGene00223416	50.6	72.2	70.8	46.1	92.6	53.5	88.7
WBGene00223417	0.4	0.0	0.0	0.0	0.8	0.0	0.0
WBGene00223418	19.7	40.3	43.1	22.1	29.7	30.2	40.2
WBGene00223420	1.5	3.6	0.8	2.9	1.3	2.6	0.0
WBGene00223421	1.0	0.0	0.0	1.2	0.0	0.0	0.0
WBGene00223422	0.9	1.8	1.5	3.4	0.8	2.7	5.2
WBGene00223423	47.4	49.1	54.5	50.8	30.7	32.1	47.4
WBGene00223424	51.1	38.5	38.4	35.6	26.2	25.4	36.9
WBGene00223426	55.3	77.2	57.1	64.1	61.0	85.7	129.2
WBGene00223427	2.0	1.7	4.2	4.6	5.3	2.8	9.0
WBGene00223428	45.5	47.9	44.8	40.8	29.8	26.6	38.3
WBGene00223429	113.9	91.8	77.2	78.5	70.5	68.0	84.6
WBGene00223430	64.8	71.9	64.6	53.9	29.9	27.5	54.0
WBGene00223431	91.4	104.1	73.2	83.5	71.5	40.2	94.2
WBGene00223432	14.3	6.7	10.3	9.6	14.4	10.7	12.6
WBGene00223433	89.7	94.8	72.4	78.0	62.4	40.6	85.4
WBGene00223434	41.2	22.5	21.4	24.1	10.2	33.9	19.5
WBGene00223435	8.6	23.1	19.7	9.4	32.2	16.4	30.7
WBGene00223436	26.1	17.7	14.5	14.3	14.4	13.1	19.6
WBGene00223437	4.5	2.9	1.3	2.1	2.0	1.3	3.3
WBGene00223438	23.2	23.6	15.1	23.2	12.6	15.1	20.6
WBGene00223439	9.6	6.6	5.2	2.2	1.6	1.9	2.9
WBGene00223440	73.6	114.8	111.9	127.0	105.5	121.7	117.5
WBGene00223441	10.6	8.4	7.6	8.5	5.5	5.5	7.0
WBGene00223442	16.7	19.3	12.7	13.3	13.2	17.3	28.2
WBGene00223443	46.9	42.4	38.1	36.6	19.8	18.4	33.5
WBGene00223444	259.7	219.7	235.7	306.9	206.7	188.2	279.9
WBGene00223445	96.9	135.2	131.2	135.1	137.8	204.0	151.8
WBGene00223446	102.0	168.9	173.4	140.3	167.5	170.7	193.0
WBGene00223447	91.2	113.5	93.2	84.4	62.6	62.5	93.2
WBGene00223448	12.5	15.9	16.1	14.3	13.0	9.6	23.2
WBGene00223449	46.7	36.2	33.8	27.4	31.0	45.9	34.5
WBGene00223450	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00223451	5.6	4.3	5.7	5.0	4.6	2.6	6.9
WBGene00223452	252.5	218.5	179.8	243.5	179.3	212.0	200.8
WBGene00223453	22.3	28.3	13.7	16.9	14.9	8.2	24.2
WBGene00223454	2.5	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00223455	22.4	29.6	23.2	37.2	22.6	13.9	17.7
WBGene00223456	161.8	147.1	120.5	114.7	136.8	125.3	126.3
WBGene00223457	59.7	74.0	57.5	60.8	47.4	40.8	51.1
WBGene00223458	32.9	16.7	23.3	40.1	18.1	26.6	26.7
WBGene00223459	110.8	137.4	99.2	149.2	102.4	129.9	92.6
WBGene00223460	400.0	389.5	410.9	430.0	316.5	343.3	364.7
WBGene00223461	29.2	20.9	26.7	25.3	13.6	16.4	32.2
WBGene00223462	80.5	96.4	80.8	102.0	86.8	80.4	99.3
WBGene00223464	12.1	11.8	11.3	5.8	1.3	5.2	6.0
WBGene00223465	38.1	42.2	39.3	17.3	39.0	34.7	39.3
WBGene00223466	59.2	79.9	52.5	60.4	51.8	37.9	57.7
WBGene00223467	1057.5	1062.3	1428.2	1054.3	1561.7	1301.0	1480.1
WBGene00223468	30.3	32.9	34.3	31.1	22.9	30.2	36.9
WBGene00223469	216.5	219.5	194.5	212.8	184.3	202.9	173.1
WBGene00223470	212.5	182.2	152.3	174.2	164.0	176.2	135.0
WBGene00223471	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00223473	181.8	148.7	123.1	156.2	126.4	161.5	144.6
WBGene00223474	297.2	292.8	302.7	272.4	295.4	262.6	241.8
WBGene00223475	684.6	455.1	476.7	548.5	502.6	499.7	508.2
WBGene00223476	72.8	51.4	51.1	46.9	59.8	42.9	57.0
WBGene00223477	61.5	44.3	41.3	52.7	59.7	49.2	34.1
WBGene00223478	0.6	1.2	1.7	1.1	0.0	0.0	0.9
WBGene00223479	406.6	313.5	376.3	320.8	448.6	315.5	427.2
WBGene00223480	0.0	2.0	2.9	4.7	1.5	2.8	0.0
WBGene00223481	34.6	37.8	34.9	37.6	24.3	26.0	39.5
WBGene00223482	30.5	22.1	27.2	28.8	25.2	29.9	34.5
WBGene00223483	21.6	20.1	21.1	14.6	19.3	14.2	20.1
WBGene00223484	34.3	28.8	34.3	24.9	29.5	28.5	28.3
WBGene00223485	17.4	16.5	24.5	17.6	9.9	11.2	26.4
WBGene00223486	129.8	119.6	93.8	114.0	119.6	105.5	84.8
WBGene00223487	1709.1	1510.1	1580.0	1588.8	1421.4	1642.2	1534.8
WBGene00223488	43.6	54.8	52.0	44.0	39.4	58.3	58.7
WBGene00223489	92.6	154.6	133.7	125.9	146.5	124.1	130.3
WBGene00223490	0.8	1.4	0.9	1.1	0.0	0.0	0.0
WBGene00223491	57.2	55.2	33.8	42.9	32.6	56.8	39.5
WBGene00223492	82.6	92.0	87.8	52.4	66.3	87.5	77.9
WBGene00223493	34.3	56.3	33.2	46.4	36.6	56.5	40.6
WBGene00223494	285.7	219.9	205.6	200.7	189.4	164.3	220.4
WBGene00223495	6.1	10.4	14.0	10.5	11.8	20.9	8.0
WBGene00223496	207.0	279.1	246.1	231.4	182.9	332.0	297.6
WBGene00223497	24.8	27.6	20.9	27.6	14.9	15.9	24.2
WBGene00223498	39.3	33.1	29.4	22.0	23.0	15.9	23.1
WBGene00223499	141.3	126.3	127.7	118.8	167.9	127.2	141.4
WBGene00223500	70.7	155.4	131.2	210.2	124.1	180.6	135.0
WBGene00223501	29.5	28.9	29.2	20.5	12.7	27.9	23.2
WBGene00223502	180.6	131.4	168.8	129.6	112.9	114.7	113.5
WBGene00223503	18.9	20.1	19.5	9.9	13.1	8.8	15.2
WBGene00223505	180.0	158.5	136.2	201.6	124.5	142.2	138.2
WBGene00223506	290.2	154.0	256.2	230.8	184.7	149.0	253.6
WBGene00223507	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00223509	3.8	0.0	8.1	0.0	11.4	0.0	0.0
WBGene00223510	0.0	0.0	0.0	0.0	6.7	0.0	0.0
WBGene00223511	108.3	82.8	63.5	65.8	77.1	77.2	80.7
WBGene00223513	4.8	8.5	5.4	6.6	3.7	3.4	4.0
WBGene00223514	39.4	47.0	51.6	44.0	46.1	47.3	36.8
WBGene00223515	3.2	2.7	3.9	3.6	3.7	1.6	5.0
WBGene00223516	33.1	52.7	43.9	47.4	41.1	45.6	40.2
WBGene00223517	239.5	344.9	287.7	263.9	309.6	302.4	344.1
WBGene00223518	15.7	21.8	17.4	23.5	12.2	15.7	14.3
WBGene00223519	88.4	103.3	89.1	89.2	74.2	67.1	77.8
WBGene00223520	24.2	26.6	15.3	18.0	13.9	17.5	20.4
WBGene00223522	64.2	75.8	58.3	74.5	44.5	43.8	62.3
WBGene00223523	43.9	47.8	27.6	31.7	31.6	45.3	30.5
WBGene00223524	0.8	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00223526	63.7	61.0	54.6	73.6	38.9	50.0	50.5
WBGene00223527	0.5	0.6	0.9	1.0	0.0	0.0	0.0
WBGene00223529	149.0	142.2	108.5	103.0	116.5	120.3	111.5
WBGene00223530	46.3	66.8	68.6	40.2	54.2	76.2	51.6
WBGene00223531	938.9	823.2	916.3	793.2	1036.7	743.6	868.7
WBGene00223532	12.9	17.9	13.5	11.6	9.0	6.9	18.7
WBGene00223533	4.6	6.4	3.0	2.3	2.3	7.0	2.8
WBGene00223534	28.2	31.8	19.6	36.7	32.7	35.4	41.6
WBGene00223535	112.8	117.0	76.9	57.3	89.9	92.0	83.1
WBGene00223536	73.1	66.7	93.0	74.7	85.4	72.9	67.8
WBGene00223537	21.2	21.4	17.9	18.8	11.8	4.8	20.5
WBGene00223538	23.1	12.9	10.6	18.5	8.6	15.5	6.1
WBGene00223539	131.6	135.9	139.0	168.4	151.4	132.3	119.6
WBGene00223540	41.7	43.1	35.2	43.5	28.6	29.8	29.6
WBGene00223541	125.2	80.8	71.2	102.0	75.2	93.8	68.8
WBGene00223542	6.8	5.8	4.1	6.2	2.2	9.9	4.7
WBGene00223543	95.2	80.2	78.8	77.9	73.0	73.7	66.5
WBGene00223544	104.7	111.3	80.3	92.3	93.5	104.7	106.8
WBGene00223545	136.3	138.9	106.5	117.7	90.7	108.4	106.1
WBGene00223546	18.1	18.0	9.8	11.7	9.0	5.4	15.8
WBGene00223548	238.2	258.3	310.1	318.2	338.1	244.4	287.6
WBGene00223549	86.0	55.7	69.0	54.2	36.0	71.5	51.8
WBGene00223550	6.9	12.5	10.4	11.7	3.9	4.8	7.1
WBGene00223552	188.9	178.2	160.1	176.3	149.9	171.3	179.2
WBGene00223553	11.4	6.8	13.6	6.0	11.3	11.2	11.0
WBGene00223554	50.0	61.2	47.3	49.9	38.9	43.4	48.6
WBGene00223555	56.7	48.6	36.4	45.6	31.7	39.8	43.6
WBGene00223556	600.4	548.9	614.0	525.8	727.7	537.5	642.0
WBGene00223557	70.4	116.6	86.8	115.9	86.2	128.8	104.4
WBGene00223558	10.5	12.6	10.8	8.5	4.7	7.8	7.6
WBGene00223559	57.9	37.4	34.3	33.3	31.4	31.1	35.2
WBGene00223560	190.6	208.5	213.9	197.7	263.0	190.0	210.5
WBGene00223561	38.8	48.7	44.5	44.9	39.8	66.5	40.6
WBGene00223562	100.7	87.0	82.3	53.4	81.2	79.2	94.5
WBGene00223563	160.7	188.7	214.3	199.6	190.7	240.7	262.1
WBGene00223564	47.9	30.1	23.2	45.6	27.7	18.3	23.4
WBGene00223565	7.3	8.3	5.1	7.6	5.5	1.7	5.0
WBGene00223566	49.6	30.9	32.0	37.7	23.3	32.8	24.9
WBGene00223567	3.9	3.5	3.4	4.0	0.8	1.5	2.0
WBGene00223568	11.2	20.5	11.8	12.2	9.1	10.9	9.1
WBGene00223569	4.5	3.9	12.5	4.7	0.0	4.1	4.7
WBGene00223570	11.7	13.0	10.2	9.7	8.0	7.3	11.7
WBGene00223571	8.0	10.5	4.7	3.9	3.1	6.3	2.3
WBGene00223572	23.2	29.9	31.3	24.1	18.5	12.0	22.2
WBGene00223573	0.0	2.7	3.9	6.3	4.1	7.0	4.4
WBGene00223574	80.4	101.1	91.1	78.3	62.3	104.6	66.6
WBGene00223575	98.2	95.2	59.3	63.4	53.3	56.8	44.7
WBGene00223576	24.1	24.0	19.7	17.9	8.7	12.7	18.3
WBGene00223577	94.5	99.6	91.8	106.6	91.3	97.1	111.7
WBGene00223578	6.8	0.0	0.7	3.6	1.1	2.0	2.8
WBGene00223580	4.1	9.6	9.5	8.8	2.4	7.1	8.4
WBGene00223581	109.8	88.5	49.4	74.6	47.0	107.7	63.5
WBGene00223582	13.9	17.9	8.5	11.1	7.9	11.0	10.5
WBGene00223583	20.8	17.0	14.2	9.2	12.2	5.5	16.1
WBGene00223584	77.3	89.3	75.7	59.5	55.3	68.6	67.3
WBGene00223585	174.6	140.8	124.9	156.3	109.1	132.7	114.2
WBGene00223586	4.4	0.0	4.6	1.6	0.0	0.0	0.0
WBGene00223588	44.7	58.0	38.5	35.5	41.3	32.5	40.6
WBGene00223589	11.2	5.5	22.4	10.9	11.9	12.1	8.6
WBGene00223591	22.4	14.7	14.7	12.2	8.8	9.1	12.7
WBGene00223592	768.1	661.5	693.9	690.0	934.8	752.4	835.2
WBGene00223593	91.6	137.7	127.2	103.1	120.8	99.3	157.4
WBGene00223594	57.2	38.5	35.0	38.0	43.7	45.8	43.3
WBGene00223595	10.7	17.7	14.2	8.2	14.5	12.1	11.1
WBGene00223596	22.1	20.3	12.0	10.0	10.9	10.8	18.7
WBGene00223597	29.0	19.0	12.5	18.9	7.3	2.5	17.1
WBGene00223598	56.3	117.4	139.0	107.1	152.0	159.3	128.0
WBGene00223599	33.2	35.0	27.0	34.6	20.4	23.1	22.9
WBGene00223600	1255.7	1322.4	1242.9	1159.3	1176.5	1373.1	1258.7
WBGene00223601	168.7	139.2	124.0	155.9	121.7	138.5	148.5
WBGene00223602	32.6	49.5	18.2	24.5	30.5	34.8	22.2
WBGene00223603	215.3	205.7	205.9	195.7	165.3	173.3	167.9
WBGene00223604	19.6	20.9	23.2	21.6	12.0	21.0	18.5
WBGene00223605	7.4	8.0	7.1	11.1	3.1	5.6	5.4
WBGene00223606	9.5	5.5	7.9	7.7	2.3	2.0	10.1
WBGene00223607	11.8	18.3	13.9	16.8	8.4	15.8	22.1
WBGene00223608	265.2	343.3	363.3	385.5	505.2	451.9	446.3
WBGene00223609	2.8	0.0	0.0	0.5	0.9	0.0	2.1
WBGene00223610	151.0	183.0	153.0	108.6	132.9	126.0	159.8
WBGene00223612	37.4	30.6	36.0	51.0	51.1	28.4	30.9
WBGene00223613	39.7	39.2	25.4	42.2	28.8	30.5	29.9
WBGene00223614	76.2	81.9	56.0	86.9	93.6	87.3	85.7
WBGene00223615	17.2	16.0	11.3	15.8	8.7	9.3	16.1
WBGene00223616	2.4	4.1	2.7	0.0	1.1	5.9	5.0
WBGene00223617	18.3	11.0	13.6	12.6	7.7	4.8	20.1
WBGene00223618	164.2	145.9	132.5	132.4	131.3	162.7	147.0
WBGene00223619	11.1	10.2	7.9	8.6	11.6	4.6	8.7
WBGene00223620	39.0	40.0	31.1	43.0	25.2	21.3	31.6
WBGene00223621	9.4	9.9	8.2	5.9	4.7	4.1	8.2
WBGene00223622	91.6	68.4	65.2	74.5	60.2	58.8	74.4
WBGene00223623	106.9	93.8	99.6	80.3	79.6	81.9	126.3
WBGene00223624	0.0	0.0	0.0	0.0	1.1	0.0	0.0
WBGene00223626	10.1	4.5	4.5	4.1	6.7	1.8	3.6
WBGene00223627	74.3	85.9	82.9	87.8	81.7	74.4	89.3
WBGene00223628	16.3	17.1	12.6	24.4	18.4	24.5	19.8
WBGene00223629	44.0	58.6	45.6	40.1	33.1	35.0	52.0
WBGene00223630	35.4	13.7	20.8	29.1	17.6	19.0	24.2
WBGene00223631	104.2	123.8	95.1	126.9	123.9	106.0	109.1
WBGene00223632	19.2	18.0	16.4	18.4	9.8	19.6	19.7
WBGene00223633	8.9	14.6	13.4	10.4	24.1	16.0	25.2
WBGene00223634	46.7	65.2	50.7	54.9	39.8	29.6	62.4
WBGene00223635	141.7	123.9	84.3	94.6	83.1	121.4	89.2
WBGene00223636	9.3	9.5	2.1	7.3	4.7	14.3	5.3
WBGene00223638	0.0	0.0	0.0	0.0	5.0	0.0	9.9
WBGene00223639	72.3	71.7	57.7	60.5	48.7	62.1	67.8
WBGene00223640	23.5	21.1	31.6	32.7	18.7	17.7	14.5
WBGene00223641	32.6	31.1	29.8	31.9	42.6	25.5	34.6
WBGene00223642	63.8	56.5	64.8	70.6	49.4	80.8	49.8
WBGene00223643	5.8	2.4	2.3	5.6	2.7	6.8	2.9
WBGene00223644	21.9	21.1	16.7	13.3	11.4	18.6	17.4
WBGene00223645	4.5	3.8	1.6	4.5	3.0	1.6	2.2
WBGene00223646	141.6	113.9	110.2	118.8	108.3	127.6	130.1
WBGene00223647	41.7	52.4	50.3	46.4	37.1	37.2	38.9
WBGene00223649	4.3	4.8	4.1	2.6	3.4	2.3	1.8
WBGene00223651	342.6	385.1	360.6	408.2	385.8	365.9	386.0
WBGene00223652	11.5	17.4	12.6	10.8	9.5	6.6	14.4
WBGene00223653	134.4	84.7	81.2	50.0	28.4	75.5	76.3
WBGene00223654	26.5	17.3	13.4	15.8	16.1	15.8	24.1
WBGene00223655	30.1	26.8	24.1	16.9	14.6	20.4	28.0
WBGene00223656	201.5	233.8	244.6	288.9	186.8	312.6	176.0
WBGene00223657	45.1	19.2	58.4	70.8	27.6	52.4	42.0
WBGene00223658	37.8	54.1	43.1	49.7	26.4	31.8	44.9
WBGene00223659	0.0	0.0	0.0	0.0	0.3	0.0	0.0
WBGene00223660	32.8	32.2	12.7	23.1	18.6	21.6	26.2
WBGene00223661	3.1	3.2	2.7	7.6	4.5	0.0	0.0
WBGene00223662	85.8	67.8	62.8	57.6	55.0	50.2	69.0
WBGene00223663	72.2	63.4	54.4	70.5	65.3	70.5	64.7
WBGene00223664	9.3	18.5	15.4	18.3	7.6	10.8	20.5
WBGene00223665	3.3	3.0	3.5	2.9	1.4	1.7	3.4
WBGene00223666	19.5	20.8	17.9	20.5	21.1	27.4	18.0
WBGene00223667	11.9	13.7	16.9	6.1	8.2	3.4	11.9
WBGene00223668	0.0	0.0	0.0	0.0	1.8	0.0	0.0
WBGene00223669	18.3	20.0	18.3	18.6	14.6	10.9	22.6
WBGene00223670	52.5	94.1	53.7	54.8	61.9	52.8	81.5
WBGene00223671	11.3	6.9	6.3	6.6	5.2	4.0	6.0
WBGene00223672	37.6	35.9	39.6	37.6	48.6	16.8	40.4
WBGene00223673	51.9	40.5	33.3	29.5	40.6	31.6	34.4
WBGene00223674	21.0	11.9	30.5	21.9	17.3	8.8	28.8
WBGene00223675	15.5	17.2	8.5	9.0	4.0	3.9	10.8
WBGene00223677	58.5	47.3	46.2	39.9	29.6	45.4	43.1
WBGene00223678	0.0	8.2	0.0	14.2	4.4	8.7	20.0
WBGene00223679	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00223680	45.5	26.4	31.8	27.8	24.5	26.1	17.1
WBGene00223681	136.9	144.6	130.2	148.1	116.4	143.9	118.6
WBGene00223682	442.3	452.0	383.1	362.1	343.2	387.1	421.8
WBGene00223683	36.9	37.5	31.1	31.0	22.8	28.8	33.6
WBGene00223684	17.7	7.5	8.9	6.9	19.8	16.4	10.4
WBGene00223686	733.1	410.3	458.9	370.1	514.6	413.9	464.1
WBGene00223687	54.1	92.2	84.6	81.2	62.9	50.1	84.4
WBGene00223689	55.0	47.6	48.7	41.7	28.9	27.4	47.3
WBGene00223690	48.5	39.4	38.9	37.6	26.8	19.3	27.9
WBGene00223691	156.2	161.3	100.5	216.8	95.2	159.6	73.8
WBGene00223692	10.6	15.0	14.7	15.7	8.1	6.1	14.4
WBGene00223693	171.0	186.1	160.7	148.0	134.8	113.0	161.2
WBGene00223694	0.7	1.3	0.6	1.2	0.3	0.9	1.6
WBGene00223695	11.5	11.1	6.8	5.5	3.9	4.1	6.8
WBGene00223696	11.4	12.0	8.3	8.3	11.4	9.8	9.7
WBGene00223697	34.2	33.8	31.1	31.2	36.9	19.8	35.4
WBGene00223698	45.8	46.6	43.4	45.8	32.2	24.9	37.1
WBGene00223700	7.0	8.2	7.2	2.7	7.8	4.3	3.0
WBGene00223702	14.4	20.7	10.8	16.8	7.6	13.5	6.6
WBGene00223703	2.7	8.2	10.0	4.0	4.0	2.4	8.5
WBGene00223704	92.3	102.9	133.2	95.8	95.7	101.3	102.9
WBGene00223705	86.5	62.7	54.7	68.2	51.1	46.9	42.2
WBGene00223706	127.7	84.3	100.1	96.7	101.6	86.0	96.0
WBGene00223707	36.1	32.6	31.4	39.0	18.7	17.4	27.3
WBGene00223708	3.5	5.0	4.0	4.3	3.0	2.3	2.1
WBGene00223709	9.4	6.0	6.6	6.8	4.6	6.9	11.3
WBGene00223710	10.8	17.0	15.6	14.2	22.6	17.6	22.4
WBGene00223711	38.4	40.9	39.2	18.3	18.1	19.3	32.4
WBGene00223712	23.6	23.3	18.9	12.5	11.1	12.6	13.7
WBGene00223713	24.0	29.5	31.6	24.4	12.7	15.2	17.1
WBGene00223714	23.2	18.8	15.3	12.4	14.8	14.9	24.6
WBGene00223715	59.5	41.5	49.5	73.9	50.5	85.6	64.7
WBGene00223716	1.3	0.0	0.7	0.4	0.0	0.0	0.0
WBGene00223717	2.9	3.2	8.1	2.9	1.3	7.6	2.5
WBGene00223718	130.2	118.9	83.7	128.6	95.4	89.8	100.2
WBGene00223719	18.3	22.4	23.1	19.9	19.9	23.0	20.2
WBGene00223720	90.9	109.8	90.5	75.9	78.3	83.9	86.7
WBGene00223721	16.2	18.1	23.9	22.7	13.2	11.6	20.3
WBGene00223722	236.9	151.6	152.1	198.3	123.3	132.9	145.0
WBGene00223723	92.8	87.6	65.0	54.9	48.6	51.5	53.6
WBGene00223724	244.9	265.0	253.3	232.5	250.7	246.4	235.9
WBGene00223725	51.5	57.3	46.3	45.8	35.7	32.6	44.6
WBGene00223726	26.1	46.1	42.6	84.2	36.6	42.6	54.0
WBGene00223727	91.6	105.0	86.8	88.5	69.0	86.1	106.2
WBGene00223728	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00223730	43.6	56.5	49.6	42.8	33.6	42.0	44.5
WBGene00223731	13.9	15.9	10.9	9.8	4.7	7.8	12.0
WBGene00223732	4.7	6.1	14.6	5.6	12.1	13.4	15.4
WBGene00223733	25.7	35.2	32.3	29.5	40.9	28.6	28.2
WBGene00223734	30.1	25.6	24.6	27.6	31.4	22.5	34.3
WBGene00223735	37.6	42.5	31.3	35.7	30.3	37.0	40.5
WBGene00223736	9.9	4.3	3.1	1.9	6.3	3.0	6.0
WBGene00223737	13.9	23.3	20.6	30.8	17.6	13.7	31.3
WBGene00223738	5.3	4.6	6.1	3.2	10.0	7.4	10.0
WBGene00223739	40.3	30.5	35.9	48.7	33.7	34.3	41.9
WBGene00223740	5.1	9.9	11.1	1.4	8.0	10.0	2.2
WBGene00223741	24.3	21.6	16.8	28.2	18.1	29.3	19.1
WBGene00223742	53.3	37.3	24.8	38.2	22.4	29.7	24.9
WBGene00223743	6.0	8.2	3.9	9.0	3.1	9.0	5.5
WBGene00223744	24.5	28.4	20.9	17.5	24.6	10.4	16.3
WBGene00223745	247.1	228.5	211.9	181.2	266.2	282.3	176.0
WBGene00223746	21.6	26.1	28.5	26.1	12.7	17.2	17.4
WBGene00223747	127.8	116.0	94.0	101.4	77.6	125.7	78.7
WBGene00223748	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00223749	0.0	10.6	13.9	10.1	9.6	17.9	0.0
WBGene00223750	1.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00223751	62.2	53.6	53.3	47.0	33.0	49.7	52.2
WBGene00223752	412.1	341.7	318.9	369.5	324.7	279.6	306.1
WBGene00223753	83.4	96.6	64.9	80.7	77.5	63.6	79.4
WBGene00223754	30.3	20.0	21.4	14.8	17.1	24.9	26.2
WBGene00223755	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00223756	40.7	42.8	53.5	36.6	42.3	28.2	56.3
WBGene00223757	3.3	5.4	4.6	5.9	2.5	0.9	5.4
WBGene00223758	9.3	8.5	4.2	8.6	4.5	6.2	10.2
WBGene00223759	9.2	20.4	16.0	26.2	23.3	22.6	18.1
WBGene00223761	19.5	19.7	16.8	15.1	18.6	16.2	25.7
WBGene00223762	31.2	32.4	20.6	26.8	14.2	21.6	28.7
WBGene00223763	71.7	82.8	51.3	76.5	53.0	46.4	64.6
WBGene00223764	140.0	182.2	200.3	185.4	231.3	207.4	201.7
WBGene00223765	13.8	31.1	18.4	22.6	7.9	7.9	21.7
WBGene00223766	29.9	70.0	60.0	46.2	53.3	57.5	36.7
WBGene00223767	17.0	49.7	51.4	23.0	49.7	34.2	46.7
WBGene00223768	258.5	278.9	265.6	258.2	303.6	286.4	289.9
WBGene00223769	124.7	150.0	118.7	169.4	114.0	106.7	134.3
WBGene00223770	30.2	34.1	27.6	37.8	24.0	32.6	36.7
WBGene00223771	116.7	143.0	105.2	121.3	122.8	116.4	112.7
WBGene00223772	33.0	42.5	33.0	35.5	37.1	30.8	23.7
WBGene00223773	97.7	71.9	61.1	67.3	56.7	60.9	61.2
WBGene00223774	42.3	22.2	21.2	23.8	16.1	15.1	17.9
WBGene00223775	33.2	38.2	37.5	32.0	23.0	20.9	33.7
WBGene00223776	0.0	0.6	0.0	0.0	0.0	0.0	0.0
WBGene00223777	153.8	204.2	179.4	240.3	212.9	198.3	195.0
WBGene00223778	4.1	3.1	3.5	3.7	3.6	4.5	6.3
WBGene00223779	292.9	302.2	301.7	320.7	274.7	354.4	292.2
WBGene00223780	29.9	41.5	43.9	41.2	26.0	34.8	45.1
WBGene00223781	60.8	52.7	54.7	48.6	30.5	41.9	51.6
WBGene00223785	6.7	12.5	8.6	3.9	8.0	8.2	7.4
WBGene00223788	102.1	87.5	72.8	92.8	54.0	75.8	72.2
WBGene00223789	368.4	213.2	195.1	226.5	226.1	199.1	250.8
WBGene00223790	18.4	18.6	18.0	40.5	29.4	20.3	20.5
WBGene00223791	17.1	22.8	14.1	16.9	9.5	6.8	19.2
WBGene00223792	24.4	21.0	22.2	15.5	9.7	11.7	17.7
WBGene00223793	26.9	32.6	28.7	28.9	20.2	22.8	30.0
WBGene00223794	4.0	1.6	3.5	3.2	9.3	3.1	3.9
WBGene00223795	295.3	262.5	271.2	370.8	269.5	295.8	248.1
WBGene00223796	54.7	29.9	39.3	29.6	29.9	26.3	30.1
WBGene00223797	138.7	111.9	105.3	115.0	106.8	91.7	108.8
WBGene00223798	19.8	17.4	13.6	9.9	5.8	5.0	14.0
WBGene00223799	59.8	56.5	56.5	41.0	21.1	27.6	41.7
WBGene00223800	30.4	30.7	32.3	29.4	31.2	33.1	29.2
WBGene00223801	51.4	65.3	54.7	51.2	61.4	58.9	46.0
WBGene00223802	150.3	62.6	32.8	46.0	13.3	68.1	31.4
WBGene00223803	8.8	6.8	8.2	4.3	7.1	2.6	0.0
WBGene00223805	231.3	240.1	187.2	246.8	208.0	205.7	199.2
WBGene00223806	15.4	16.2	18.2	10.3	9.0	6.1	18.0
WBGene00223807	71.5	69.4	75.4	44.0	64.3	54.1	50.4
WBGene00223809	41.3	28.3	24.2	37.4	16.8	32.2	27.8
WBGene00223811	0.8	3.3	0.0	0.0	1.6	0.0	0.0
WBGene00223812	1.6	3.5	10.1	3.2	3.9	1.4	5.7
WBGene00223813	199.9	193.9	155.5	175.4	177.1	190.0	141.7
WBGene00223814	101.4	74.2	80.3	42.9	90.6	60.0	76.6
