Run	Condition	developmental_stage	title	source_name	strain
SRR10596685	SRR10596685	1 h	RNAseq_N2_larvae_1h	synchronized population	N2
SRR10596686	SRR10596686	2 h	RNAseq_N2_larvae_2h	synchronized population	N2
SRR10596687	SRR10596687	3 h	RNAseq_N2_larvae_3h	synchronized population	N2
SRR10596688	SRR10596688	4 h	RNAseq_N2_larvae_4h	synchronized population	N2
SRR10596689	SRR10596689	5 h	RNAseq_N2_larvae_5h	synchronized population	N2
SRR10596690	SRR10596690	6 h	RNAseq_N2_larvae_6h	synchronized population	N2
SRR10596691	SRR10596691	7 h	RNAseq_N2_larvae_7h	synchronized population	N2
SRR10596692	SRR10596692	8 h	RNAseq_N2_larvae_8h	synchronized population	N2
SRR10596693	SRR10596693	9 h	RNAseq_N2_larvae_9h	synchronized population	N2
SRR10596694	SRR10596694	10 h	RNAseq_N2_larvae_10h	synchronized population	N2
SRR10596695	SRR10596695	11 h	RNAseq_N2_larvae_11h	synchronized population	N2
SRR10596696	SRR10596696	12 h	RNAseq_N2_larvae_12h	synchronized population	N2
SRR10596697	SRR10596697	13 h	RNAseq_N2_larvae_13h	synchronized population	N2
SRR10596698	SRR10596698	14 h	RNAseq_N2_larvae_14h	synchronized population	N2
SRR10596699	SRR10596699	15 h	RNAseq_N2_larvae_15h	synchronized population	N2
SRR10596700	SRR10596700	16 h	RNAseq_N2_larvae_16h	synchronized population	N2
SRR10596701	SRR10596701	17 h	RNAseq_N2_larvae_17h	synchronized population	N2
SRR10596702	SRR10596702	18 h	RNAseq_N2_larvae_18h	synchronized population	N2
SRR10596703	SRR10596703	19 h	RNAseq_N2_larvae_19h	synchronized population	N2
SRR10596704	SRR10596704	20 h	RNAseq_N2_larvae_20h	synchronized population	N2
SRR10596705	SRR10596705	21 h	RNAseq_N2_larvae_21h	synchronized population	N2
SRR10596706	SRR10596706	22 h	RNAseq_N2_larvae_22h	synchronized population	N2
SRR10596707	SRR10596707	23 h	RNAseq_N2_larvae_23h	synchronized population	N2
