Run	Condition	organism_part	treatment	ploidy	strain
SRR7992075	non-pole-containing anterior blastema flanking region	non-pole-containing anterior blastema flanking region	72-hours-post transverse amputation	2N (non-dividing)	asexual CIW4
SRR7992076	non-pole-containing anterior blastema flanking region	non-pole-containing anterior blastema flanking region	72-hours-post transverse amputation	2N (non-dividing)	asexual CIW4
SRR7992077	non-pole-containing anterior blastema flanking region	non-pole-containing anterior blastema flanking region	72-hours-post transverse amputation	2N (non-dividing)	asexual CIW4
SRR7992069	non-pole-containing head tip flanking region	non-pole-containing head tip flanking region		2N (non-dividing)	asexual CIW4
SRR7992070	non-pole-containing head tip flanking region	non-pole-containing head tip flanking region		2N (non-dividing)	asexual CIW4
SRR7992071	non-pole-containing head tip flanking region	non-pole-containing head tip flanking region		2N (non-dividing)	asexual CIW4
SRR7992072	pole-containing anterior blastema region	pole-containing anterior blastema region	72-hours-post transverse amputation	2N (non-dividing)	asexual CIW4
SRR7992073	pole-containing anterior blastema region	pole-containing anterior blastema region	72-hours-post transverse amputation	2N (non-dividing)	asexual CIW4
SRR7992074	pole-containing anterior blastema region	pole-containing anterior blastema region	72-hours-post transverse amputation	2N (non-dividing)	asexual CIW4
SRR7992066	pole-containing head tip region	pole-containing head tip region		2N (non-dividing)	asexual CIW4
SRR7992067	pole-containing head tip region	pole-containing head tip region		2N (non-dividing)	asexual CIW4
SRR7992068	pole-containing head tip region	pole-containing head tip region		2N (non-dividing)	asexual CIW4
