Run	Condition	developmental_stage	genotype	strain	title	organism_part	source_name
SRR10164061	SRR10164061	adult at day1	wild type	N2	WT_D1_1	whole organism	Whole body
SRR10164062	SRR10164062	adult at day1	wild type	N2	WT_D1_2	whole organism	Whole body
SRR10164063	SRR10164063	adult at day1	wild type	N2	WT_D1_3	whole organism	Whole body
SRR10164064	SRR10164064	adult at day9	wild type	N2	WT_D9_1	whole organism	Whole body
SRR10164065	SRR10164065	adult at day9	wild type	N2	WT_D9_2	whole organism	Whole body
SRR10164066	SRR10164066	adult at day9	wild type	N2	WT_D9_3	whole organism	Whole body
SRR10164067	SRR10164067	adult at day1	daf-2(e1370)	CF1041	daf2_D1_1	whole organism	Whole body
SRR10164068	SRR10164068	adult at day1	daf-2(e1370)	CF1041	daf2_D1_2	whole organism	Whole body
SRR10164069	SRR10164069	adult at day1	daf-2(e1370)	CF1041	daf2_D1_3	whole organism	Whole body
SRR10164070	SRR10164070	adult at day9	daf-2(e1370)	CF1041	daf2_D9_1	whole organism	Whole body
SRR10164071	SRR10164071	adult at day9	daf-2(e1370)	CF1041	daf2_D9_2	whole organism	Whole body
SRR10164072	SRR10164072	adult at day9	daf-2(e1370)	CF1041	daf2_D9_3	whole organism	Whole body
