Run	Condition	treatment	developmental_stage	organism_part	sex	strain
SRR9603273	DMSO	DMSO	Sexually mature adult	whole organism	pooled male and female	NMRI
SRR9603274	DMSO	DMSO	Sexually mature adult	whole organism	pooled male and female	NMRI
SRR9603275	DMSO	DMSO	Sexually mature adult	whole organism	pooled male and female	NMRI
SRR9603276	DMSO	DMSO	Sexually mature adult	whole organism	pooled male and female	NMRI
SRR9603279	DMSO	DMSO	Sexually mature adult	whole organism	pooled male and female	NMRI
SRR9603277	FPL-64176	FPL-64176	Sexually mature adult	whole organism	pooled male and female	NMRI
SRR9603278	FPL-64176	FPL-64176	Sexually mature adult	whole organism	pooled male and female	NMRI
SRR9603280	FPL-64176	FPL-64176	Sexually mature adult	whole organism	pooled male and female	NMRI
SRR9603281	FPL-64176	FPL-64176	Sexually mature adult	whole organism	pooled male and female	NMRI
SRR9603282	FPL-64176	FPL-64176	Sexually mature adult	whole organism	pooled male and female	NMRI
