Run	Condition	description_title	disease	dosage	drug	genotype	group	phenotype	strain	age_at_rna_isolation	buffer	collected_by	developmental_stage_at_treatment_initiation	sex	source_name
SRR7811658	SRR7811658	N2_3_1	wild-type		H2O	N2;wild-type	N2_3	wild-type	N2 Bristol	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811659	SRR7811659	N2_3_2	wild-type		H2O	N2;wild-type	N2_3	wild-type	N2 Bristol	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811661	SRR7811661	N2_3_4	wild-type		H2O	N2;wild-type	N2_3	wild-type	N2 Bristol	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811662	SRR7811662	Gas1_3_1	mitochondrial disease		H2O	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Gas1_3	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811663	SRR7811663	Gas1_3_2	mitochondrial disease		H2O	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Gas1_3	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811664	SRR7811664	Gas1_3_3	mitochondrial disease		H2O	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Gas1_3	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811665	SRR7811665	Gas1_3_4	mitochondrial disease		H2O	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Gas1_3	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811666	SRR7811666	Nac_1	mitochondrial disease		Nacetylcysteine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Nac	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811667	SRR7811667	Nac_2	mitochondrial disease		Nacetylcysteine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Nac	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811668	SRR7811668	Nac_3	mitochondrial disease		Nacetylcysteine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Nac	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
