Run	Condition	developmental_stage	genotype	source_name	title	treatment	molecule_subtype	organism_part
SRR11195073	SRR11195073	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_embryos_RNA-seq	CSR-1_degron_embryos_rep1_RNA-seq	Auxin (500µM) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195074	SRR11195074	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_embryos_RNA-seq	CSR-1_degron_embryos_rep2_RNA-seq	Auxin (500µM) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195075	SRR11195075	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_embryos_control_RNA-seq	CSR-1_degron_embryos_control_rep1_RNA-seq	Ethanol (auxin control) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195076	SRR11195076	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_embryos_control_RNA-seq	CSR-1_degron_embryos_control_rep2_RNA-seq	Ethanol (auxin control) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195077	SRR11195077	1 cell embryos	oma-1(gc013[mcherry::oma-1]) IV; pie-1(ne4301[pie-1::GFP])	1cell_embryos_RNA-seq	1cell_embryos_rep1_RNA-seq	formaldehyde fixation	total RNA, rRNA-depleted	whole embryo
SRR11195078	SRR11195078	1 cell embryos	oma-1(gc013[mcherry::oma-1]) IV; pie-1(ne4301[pie-1::GFP])	1cell_embryos_RNA-seq	1cell_embryos_rep2_RNA-seq	formaldehyde fixation	total RNA, rRNA-depleted	whole embryo
SRR11195079	SRR11195079	early embryos	oma-1(gc013[mcherry::oma-1]) IV; pie-1(ne4301[pie-1::GFP])	Early_embryos_RNA-seq	Early_embryos_rep1_RNA-seq	formaldehyde fixation	total RNA, rRNA-depleted	whole embryo
SRR11195080	SRR11195080	early embryos	oma-1(gc013[mcherry::oma-1]) IV; pie-1(ne4301[pie-1::GFP])	Early_embryos_RNA-seq	Early_embryos_rep2_RNA-seq	formaldehyde fixation	total RNA, rRNA-depleted	whole embryo
SRR11195081	SRR11195081	late embryos	oma-1(gc013[mcherry::oma-1]) IV; pie-1(ne4301[pie-1::GFP])	Late_embryos_RNA-seq	Late_embryos_rep1_RNA-seq	formaldehyde fixation	total RNA, rRNA-depleted	whole embryo
SRR11195082	SRR11195082	late embryos	oma-1(gc013[mcherry::oma-1]) IV; pie-1(ne4301[pie-1::GFP])	Late_embryos_RNA-seq	Late_embryos_rep2_RNA-seq	formaldehyde fixation	total RNA, rRNA-depleted	whole embryo
SRR11195083	SRR11195083	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_early_embryos_RNA-seq	CSR-1_degron_early_embryos_rep1_RNA-seq	Auxin (500µM) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195084	SRR11195084	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_early_embryos_RNA-seq	CSR-1_degron_early_embryos_rep2_RNA-seq	Auxin (500µM) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195085	SRR11195085	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_early_embryos_rep3_RNA-seq	CSR-1_degron_early_embryos_rep3_RNA-seq	Auxin (500µM) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
