Run	Condition	timepoint	title	developmental_stage	genotype	organism_part	source_name	strain
SRR10961918	SRR10961918	LAG-1 ctr	LAG-1 ctr rep1	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961919	SRR10961919	LAG-1 ctr	LAG-1 ctr rep2	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961920	SRR10961920	LAG-1 ctr	LAG-1 ctr rep3	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961921	SRR10961921	LAG-1 ctr	LAG-1 ctr rep4	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961922	SRR10961922	LAG-1 2h	LAG-1 2h rep1	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961923	SRR10961923	LAG-1 2h	LAG-1 2h rep2	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961924	SRR10961924	LAG-1 2h	LAG-1 2h rep3	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961925	SRR10961925	LAG-1 2h	LAG-1 2h rep4	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961926	SRR10961926	LAG-1 4h	LAG-1 4h rep1	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961927	SRR10961927	LAG-1 4h	LAG-1 4h rep2	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961928	SRR10961928	LAG-1 4h	LAG-1 4h rep3	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961929	SRR10961929	LAG-1 4h	LAG-1 4h rep4	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961930	SRR10961930	LAG-1 48h	LAG-1 48h rep1	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961931	SRR10961931	LAG-1 48h	LAG-1 48h rep2	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961932	SRR10961932	LAG-1 48h	LAG-1 48h rep3	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
SRR10961933	SRR10961933	LAG-1 48h	LAG-1 48h rep4	1 day old adult	gld-2(q497) gld-1(q485); glp-1(ar202); lag-1(oz536oz537); ieSi64[gld-1p::tir1::mRuby]	germline	dissected germline tumor	Bristol
