Run	Condition	description_title	genotype	strain	treatment	developmental_stage	organism_part	source_name
SRR7668197	SRR7668197	wild type untreated (rep 1)	wild type	N2		L4 stage	whole organism	L4 stage whole animal
SRR7668198	SRR7668198	pals-22(-) untreated (rep 1)	pals-22(jy3)	ERT415		L4 stage	whole organism	L4 stage whole animal
SRR7668199	SRR7668199	pals-22(-) pals-25(-) untreated (rep 1)	pals-22(jy3) pals-25(jy9)	ERT451		L4 stage	whole organism	L4 stage whole animal
SRR7668200	SRR7668200	wild type untreated (rep 2)	wild type	N2		L4 stage	whole organism	L4 stage whole animal
SRR7668201	SRR7668201	pals-22(-) untreated (rep 2)	pals-22(jy3)	ERT415		L4 stage	whole organism	L4 stage whole animal
SRR7668202	SRR7668202	pals-22(-) pals-25(-) untreated (rep 2)	pals-22(jy3) pals-25(jy9)	ERT451		L4 stage	whole organism	L4 stage whole animal
SRR7668203	SRR7668203	wild type DMSO (rep 1)	wild type	N2	DMSO	L4 stage	whole organism	L4 stage whole animal
SRR7668204	SRR7668204	wild type Bortezomib (rep 1)	wild type	N2	Bortezomib	L4 stage	whole organism	L4 stage whole animal
SRR7668205	SRR7668205	wild type DMSO (rep 2)	wild type	N2	DMSO	L4 stage	whole organism	L4 stage whole animal
SRR7668206	SRR7668206	wild type Bortezomib (rep 2)	wild type	N2	Bortezomib	L4 stage	whole organism	L4 stage whole animal
SRR7668207	SRR7668207	wild type untreated (rep 3)	wild type	N2		L4 stage	whole organism	L4 stage whole animal
SRR7668208	SRR7668208	pals-22(-) untreated (rep 3)	pals-22(jy3)	ERT415		L4 stage	whole organism	L4 stage whole animal
SRR7668209	SRR7668209	pals-22(-) pals-25(-) untreated (rep 3)	pals-22(jy3) pals-25(jy9)	ERT451		L4 stage	whole organism	L4 stage whole animal
SRR7668210	SRR7668210	wild type DMSO (rep 3)	wild type	N2	DMSO	L4 stage	whole organism	L4 stage whole animal
SRR7668211	SRR7668211	wild type Bortezomib (rep 3)	wild type	N2	Bortezomib	L4 stage	whole organism	L4 stage whole animal
