Run	Sample	Condition	age	host_infection	sex
ERR1328174	SAMEA3898065	18 days post infection, single sex, female	18 days post infection	single sex	female
ERR1328198	SAMEA3898065	18 days post infection, single sex, female	18 days post infection	single sex	female
ERR1328136	SAMEA3898097	18 days post infection, single sex, female	18 days post infection	single sex	female
ERR1328159	SAMEA3898097	18 days post infection, single sex, female	18 days post infection	single sex	female
ERR1328175	SAMEA3898066	18 days post infection, single sex, male	18 days post infection	single sex	male
ERR1328199	SAMEA3898066	18 days post infection, single sex, male	18 days post infection	single sex	male
ERR1328137	SAMEA3898098	18 days post infection, single sex, male	18 days post infection	single sex	male
ERR1328160	SAMEA3898098	18 days post infection, single sex, male	18 days post infection	single sex	male
ERR1328236	SAMEA3898126	18 days post infection, single sex, male	18 days post infection	single sex	male
ERR1328259	SAMEA3898126	18 days post infection, single sex, male	18 days post infection	single sex	male
ERR1328179	SAMEA3898070	21 days post infection, mixed sex, female	21 days post infection	mixed sex	female
ERR1328203	SAMEA3898070	21 days post infection, mixed sex, female	21 days post infection	mixed sex	female
ERR1328180	SAMEA3898071	21 days post infection, mixed sex, female	21 days post infection	mixed sex	female
ERR1328204	SAMEA3898071	21 days post infection, mixed sex, female	21 days post infection	mixed sex	female
ERR1328141	SAMEA3898102	21 days post infection, mixed sex, female	21 days post infection	mixed sex	female
ERR1328164	SAMEA3898102	21 days post infection, mixed sex, female	21 days post infection	mixed sex	female
ERR1328240	SAMEA3898130	21 days post infection, mixed sex, female	21 days post infection	mixed sex	female
ERR1328263	SAMEA3898130	21 days post infection, mixed sex, female	21 days post infection	mixed sex	female
ERR1328181	SAMEA3898072	21 days post infection, mixed sex, male	21 days post infection	mixed sex	male
ERR1328205	SAMEA3898072	21 days post infection, mixed sex, male	21 days post infection	mixed sex	male
ERR1328142	SAMEA3898103	21 days post infection, mixed sex, male	21 days post infection	mixed sex	male
ERR1328165	SAMEA3898103	21 days post infection, mixed sex, male	21 days post infection	mixed sex	male
ERR1328143	SAMEA3898104	21 days post infection, mixed sex, male	21 days post infection	mixed sex	male
ERR1328166	SAMEA3898104	21 days post infection, mixed sex, male	21 days post infection	mixed sex	male
ERR1328241	SAMEA3898131	21 days post infection, mixed sex, male	21 days post infection	mixed sex	male
ERR1328264	SAMEA3898131	21 days post infection, mixed sex, male	21 days post infection	mixed sex	male
ERR1328176	SAMEA3898067	21 days post infection, single sex, female	21 days post infection	single sex	female
ERR1328200	SAMEA3898067	21 days post infection, single sex, female	21 days post infection	single sex	female
ERR1328177	SAMEA3898068	21 days post infection, single sex, female	21 days post infection	single sex	female
ERR1328201	SAMEA3898068	21 days post infection, single sex, female	21 days post infection	single sex	female
ERR1328138	SAMEA3898099	21 days post infection, single sex, female	21 days post infection	single sex	female
ERR1328161	SAMEA3898099	21 days post infection, single sex, female	21 days post infection	single sex	female
ERR1328139	SAMEA3898100	21 days post infection, single sex, female	21 days post infection	single sex	female
ERR1328162	SAMEA3898100	21 days post infection, single sex, female	21 days post infection	single sex	female
ERR1328237	SAMEA3898127	21 days post infection, single sex, female	21 days post infection	single sex	female
ERR1328260	SAMEA3898127	21 days post infection, single sex, female	21 days post infection	single sex	female
ERR1328178	SAMEA3898069	21 days post infection, single sex, male	21 days post infection	single sex	male
ERR1328202	SAMEA3898069	21 days post infection, single sex, male	21 days post infection	single sex	male
ERR1328140	SAMEA3898101	21 days post infection, single sex, male	21 days post infection	single sex	male
ERR1328163	SAMEA3898101	21 days post infection, single sex, male	21 days post infection	single sex	male
ERR1328238	SAMEA3898128	21 days post infection, single sex, male	21 days post infection	single sex	male
ERR1328261	SAMEA3898128	21 days post infection, single sex, male	21 days post infection	single sex	male
ERR1328239	SAMEA3898129	21 days post infection, single sex, male	21 days post infection	single sex	male
ERR1328262	SAMEA3898129	21 days post infection, single sex, male	21 days post infection	single sex	male
ERR1328184	SAMEA3898075	28 days post infection, mixed sex, female	28 days post infection	mixed sex	female
ERR1328208	SAMEA3898075	28 days post infection, mixed sex, female	28 days post infection	mixed sex	female
ERR1328146	SAMEA3898107	28 days post infection, mixed sex, female	28 days post infection	mixed sex	female
ERR1328169	SAMEA3898107	28 days post infection, mixed sex, female	28 days post infection	mixed sex	female
ERR1328222	SAMEA3898112	28 days post infection, mixed sex, female	28 days post infection	mixed sex	female
ERR1328245	SAMEA3898112	28 days post infection, mixed sex, female	28 days post infection	mixed sex	female
ERR1328244	SAMEA3898134	28 days post infection, mixed sex, female	28 days post infection	mixed sex	female
ERR1328267	SAMEA3898134	28 days post infection, mixed sex, female	28 days post infection	mixed sex	female
ERR1328185	SAMEA3898076	28 days post infection, mixed sex, male	28 days post infection	mixed sex	male
ERR1328209	SAMEA3898076	28 days post infection, mixed sex, male	28 days post infection	mixed sex	male
ERR1328186	SAMEA3898077	28 days post infection, mixed sex, male	28 days post infection	mixed sex	male
ERR1328210	SAMEA3898077	28 days post infection, mixed sex, male	28 days post infection	mixed sex	male
ERR1328147	SAMEA3898108	28 days post infection, mixed sex, male	28 days post infection	mixed sex	male
ERR1328170	SAMEA3898108	28 days post infection, mixed sex, male	28 days post infection	mixed sex	male
ERR1328223	SAMEA3898113	28 days post infection, mixed sex, male	28 days post infection	mixed sex	male
ERR1328246	SAMEA3898113	28 days post infection, mixed sex, male	28 days post infection	mixed sex	male
ERR1328182	SAMEA3898073	28 days post infection, single sex, female	28 days post infection	single sex	female
ERR1328206	SAMEA3898073	28 days post infection, single sex, female	28 days post infection	single sex	female
ERR1328144	SAMEA3898105	28 days post infection, single sex, female	28 days post infection	single sex	female
ERR1328167	SAMEA3898105	28 days post infection, single sex, female	28 days post infection	single sex	female
ERR1328242	SAMEA3898132	28 days post infection, single sex, female	28 days post infection	single sex	female
ERR1328265	SAMEA3898132	28 days post infection, single sex, female	28 days post infection	single sex	female
ERR1328183	SAMEA3898074	28 days post infection, single sex, male	28 days post infection	single sex	male
ERR1328207	SAMEA3898074	28 days post infection, single sex, male	28 days post infection	single sex	male
ERR1328145	SAMEA3898106	28 days post infection, single sex, male	28 days post infection	single sex	male
ERR1328168	SAMEA3898106	28 days post infection, single sex, male	28 days post infection	single sex	male
ERR1328243	SAMEA3898133	28 days post infection, single sex, male	28 days post infection	single sex	male
ERR1328266	SAMEA3898133	28 days post infection, single sex, male	28 days post infection	single sex	male
ERR1328189	SAMEA3898080	35 days post infection, mixed sex, female	35 days post infection	mixed sex	female
ERR1328213	SAMEA3898080	35 days post infection, mixed sex, female	35 days post infection	mixed sex	female
ERR1328128	SAMEA3898089	35 days post infection, mixed sex, female	35 days post infection	mixed sex	female
ERR1328151	SAMEA3898089	35 days post infection, mixed sex, female	35 days post infection	mixed sex	female
ERR1328226	SAMEA3898116	35 days post infection, mixed sex, female	35 days post infection	mixed sex	female
ERR1328249	SAMEA3898116	35 days post infection, mixed sex, female	35 days post infection	mixed sex	female
ERR1328190	SAMEA3898081	35 days post infection, mixed sex, male	35 days post infection	mixed sex	male
ERR1328214	SAMEA3898081	35 days post infection, mixed sex, male	35 days post infection	mixed sex	male
ERR1328129	SAMEA3898090	35 days post infection, mixed sex, male	35 days post infection	mixed sex	male
ERR1328152	SAMEA3898090	35 days post infection, mixed sex, male	35 days post infection	mixed sex	male
ERR1328227	SAMEA3898117	35 days post infection, mixed sex, male	35 days post infection	mixed sex	male
ERR1328250	SAMEA3898117	35 days post infection, mixed sex, male	35 days post infection	mixed sex	male
