Run	Condition	sample_name	submitter_id	title	ena_first_public	ena_last_update	insdc_center_alias
ERR4873281	CF3166_L4440	CF3166_L4440	CF3166_L4440	CF3166_L4440 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR4872789	CF3166_atg18	CF3166_atg18	CF3166_atg18	CF3166_atg18 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR4873276	CF3166_hsf1	CF3166_hsf1	CF3166_hsf1	CF3166_hsf1 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR4872763	CF3317_L4440	CF3317_L4440	CF3317_L4440	CF3317_L4440 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR4872358	CF3317_atg18	CF3317_atg18	CF3317_atg18	CF3317_atg18 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR4872788	CF3317_hsf1	CF3317_hsf1	CF3317_hsf1	CF3317_hsf1 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR4872260	CF3649_L4440	CF3649_L4440	CF3649_L4440	CF3649_L4440 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR4872258	CF3649_atg18	CF3649_atg18	CF3649_atg18	CF3649_atg18 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR4872259	CF3649_hsf1	CF3649_hsf1	CF3649_hsf1	CF3649_hsf1 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR4872257	DCD13_L4440	DCD13_L4440	DCD13_L4440	DCD13_L4440 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR4872050	DCD13_atg18	DCD13_atg18	DCD13_atg18	DCD13_atg18 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR4872051	DCD13_hsf1	DCD13_hsf1	DCD13_hsf1	DCD13_hsf1 C. elegans RNA-seq	2020-11-25	2020-11-24	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
