Run	Condition	description_title	genotype	compound	developmental_stage	organism_part	source_name	strain
SRR8309206	SRR8309206	WT rep 1	wild type		Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309207	SRR8309207	WT rep 2	wild type		Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309208	SRR8309208	WT rep 3	wild type		Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309209	SRR8309209	WT rep 4	wild type		Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309210	SRR8309210	skn-1gf rep 1	lax188(skn-1gf)		Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309211	SRR8309211	skn-1gf rep 2	lax188(skn-1gf)		Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309212	SRR8309212	skn-1gf rep 3	lax188(skn-1gf)		Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309213	SRR8309213	skn-1gf rep 4	lax188(skn-1gf)		Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309214	SRR8309214	wdr-5;skn-1gf rep 1	ok1417(wdr-5);lax188(skn-1gf)		Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309215	SRR8309215	wdr-5;skn-1gf rep 2	ok1417(wdr-5);lax188(skn-1gf)		Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309216	SRR8309216	wdr-5;skn-1gf rep 3	ok1417(wdr-5);lax188(skn-1gf)		Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309217	SRR8309217	skn-1gf + paraquat rep 1	lax188(skn-1gf)	paraquat	Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309218	SRR8309218	skn-1gf + paraquat rep 2	lax188(skn-1gf)	paraquat	Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309219	SRR8309219	skn-1gf + paraquat rep 3	lax188(skn-1gf)	paraquat	Day 3 adult	whole organism	whole worms	N2 Bristol
SRR8309220	SRR8309220	skn-1gf + paraquat rep 4	lax188(skn-1gf)	paraquat	Day 3 adult	whole organism	whole worms	N2 Bristol
