Run	Sample	Condition	description_title	organism_part	sample_name	treatment	developmental_stage	isolate	strain
SRR5928329	SRR5928329	Smed_small_RNAs_wt_intact	Size-selected small RNAs of intact, wild-type Smed	whole organism	Smed_small_RNAs_wt_intact		adult	BCN-10	asexual
SRR7070906	SAMN07490271	x1 cells	Smed gfp RNAi (X1 FACS fraction)	x1 cells	Smed_X1_gfp_RNAi	gfp RNAi	adult	BCN-10	asexual
SRR7070907	SAMN07490271	x1 cells	Smed gfp RNAi (X1 FACS fraction)	x1 cells	Smed_X1_gfp_RNAi	gfp RNAi	adult	BCN-10	asexual
SRR7070908	SAMN07490271	x1 cells	Smed gfp RNAi (X1 FACS fraction)	x1 cells	Smed_X1_gfp_RNAi	gfp RNAi	adult	BCN-10	asexual
SRR7070909	SAMN07490272	x1 cells, ints3 RNAi	Smed ints3 RNAi (X1 FACS fraction)	x1 cells	Smed_X1_ints3_RNAi	ints3 RNAi	adult	BCN-10	asexual
SRR7070910	SAMN07490272	x1 cells, ints3 RNAi	Smed ints3 RNAi (X1 FACS fraction)	x1 cells	Smed_X1_ints3_RNAi	ints3 RNAi	adult	BCN-10	asexual
SRR7070911	SAMN07490272	x1 cells, ints3 RNAi	Smed ints3 RNAi (X1 FACS fraction)	x1 cells	Smed_X1_ints3_RNAi	ints3 RNAi	adult	BCN-10	asexual
SRR7070912	SAMN07490273	x1 cells, ints9 RNAi	Smed ints9 RNAi (X1 FACS fraction)	x1 cells	Smed_X1_ints9_RNAi	ints9 RNAi	adult	BCN-10	asexual
SRR7070913	SAMN07490273	x1 cells, ints9 RNAi	Smed ints9 RNAi (X1 FACS fraction)	x1 cells	Smed_X1_ints9_RNAi	ints9 RNAi	adult	BCN-10	asexual
SRR7070914	SAMN07490273	x1 cells, ints9 RNAi	Smed ints9 RNAi (X1 FACS fraction)	x1 cells	Smed_X1_ints9_RNAi	ints9 RNAi	adult	BCN-10	asexual
