Run	Condition	developmental_stage	source_name	title	genotype	genotype_background	strain_background
SRR5188237	SRR5188237	day 12	Control (EV) treated day 12_whole worm	d12_ev_R1	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188238	SRR5188238	day 12	Control (EV) treated day 12_whole worm	d12_ev_R3	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188239	SRR5188239	day 12	Control (EV) treated day 12_whole worm	d12_ev_R4_2	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188240	SRR5188240	day 18	Control (EV) treated day 18_whole worm	d18_ev_R1	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188241	SRR5188241	day 18	Control (EV) treated day 18_whole worm	d18_ev_R3	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188242	SRR5188242	day 18	Control (EV) treated day 18_whole worm	d18_ev_R4	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188255	SRR5188255	day 3	Control (EV) treated day 3_whole worm	d3_ev_R1	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188256	SRR5188256	day 3	Control (EV) treated day 3_whole worm	d3_ev_R3	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188257	SRR5188257	day 3	Control (EV) treated day 3_whole worm	d3_ev_R4	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188258	SRR5188258	day 6	Control (EV) treated day 6_whole worm	d6_ev_R1	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188259	SRR5188259	day 6	Control (EV) treated day 6_whole worm	d6_ev_R3	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188260	SRR5188260	day 6	Control (EV) treated day 6_whole worm	d6_ev_R4	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188261	SRR5188261	day 9	Control (EV) treated day 9_whole worm	d9_ev_R1	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188262	SRR5188262	day 9	Control (EV) treated day 9_whole worm	d9_ev_R3	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188263	SRR5188263	day 9	Control (EV) treated day 9_whole worm	d9_ev_R4	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188264	SRR5188264	day 15	Control (EV) treated day 15_whole worm	d15_ev_R1	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188265	SRR5188265	day 15	Control (EV) treated day 15_whole worm	d15_ev_R3	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
SRR5188266	SRR5188266	day 15	Control (EV) treated day 15_whole worm	d15_ev_R4	Control (EV) treated	RNAi hypersensitive	rrf-3(pk1436)
