Run	Condition	description_title	treatment	organism_part	source_name	strain
SRR8359132	SRR8359132	Control4	non (control)	whole organism	whole organism	wildtype (N2)
SRR8359133	SRR8359133	Control6	non (control)	whole organism	whole organism	wildtype (N2)
SRR8359134	SRR8359134	Starv15h1	15h starvation	whole organism	whole organism	wildtype (N2)
SRR8359135	SRR8359135	Starv15h2	15h starvation	whole organism	whole organism	wildtype (N2)
SRR8359136	SRR8359136	Starv15h3	15h starvation	whole organism	whole organism	wildtype (N2)
SRR8359137	SRR8359137	Flu9	fluphenazine	whole organism	whole organism	wildtype (N2)
SRR8359138	SRR8359138	Flu2	fluphenazine	whole organism	whole organism	wildtype (N2)
SRR8359139	SRR8359139	Flu4	fluphenazine	whole organism	whole organism	wildtype (N2)
SRR8359140	SRR8359140	Canta1	cantharidin	whole organism	whole organism	wildtype (N2)
SRR8359141	SRR8359141	Canta9	cantharidin	whole organism	whole organism	wildtype (N2)
SRR8359142	SRR8359142	Control7	non (control)	whole organism	whole organism	wildtype (N2)
SRR8359143	SRR8359143	Canta3	cantharidin	whole organism	whole organism	wildtype (N2)
SRR8359144	SRR8359144	Rpn6RNAi4	rpn-6 RNAi	whole organism	whole organism	wildtype (N2)
SRR8359145	SRR8359145	Rpn6RNAi5	rpn-6 RNAi	whole organism	whole organism	wildtype (N2)
SRR8359146	SRR8359146	Rpn6RNAi6	rpn-6 RNAi	whole organism	whole organism	wildtype (N2)
SRR8359147	SRR8359147	Btz325	bortezomib 25uM	whole organism	whole organism	wildtype (N2)
SRR8359148	SRR8359148	Btz425	bortezomib 25uM	whole organism	whole organism	wildtype (N2)
SRR8359149	SRR8359149	Btz625	bortezomib 25uM	whole organism	whole organism	wildtype (N2)
SRR8359150	SRR8359150	Btz710	bortezomib 10uM	whole organism	whole organism	wildtype (N2)
SRR8359151	SRR8359151	Btz810	bortezomib 10uM	whole organism	whole organism	wildtype (N2)
SRR8359152	SRR8359152	Btz910	bortezomib 10uM	whole organism	whole organism	wildtype (N2)
