SRP093685	SRR5028273	12h in vitro activated IJ	
SRP093685	SRR5028274	12h in vitro activated IJ	
SRP093685	SRR5028275	12h in vitro activated IJ	
SRP093685	SRR5028279	12h in vivo activated IJ	
SRP093685	SRR5028280	12h in vivo activated IJ	
SRP093685	SRR5028281	12h in vivo activated IJ	
SRP093685	SRR5028282	15h in vivo activated IJ	
SRP093685	SRR5028283	15h in vivo activated IJ	
SRP093685	SRR5028284	15h in vivo activated IJ	
SRP093685	SRR5028276	9h in vivo activated IJ	
SRP093685	SRR5028277	9h in vivo activated IJ	
SRP093685	SRR5028278	9h in vivo activated IJ	
SRP093685	SRR5028270	nonactivated IJ	
SRP093685	SRR5028271	nonactivated IJ	
SRP093685	SRR5028272	nonactivated IJ	
