Run	Condition	plane_of_amputation	strain	treatment
SRR3206870	Wildtype zone 1	posterior extent of the photoreceptors	Asexual CIW4	Amputation fragment
SRR3206871	Wildtype zone 1	posterior extent of the photoreceptors	Asexual CIW4	Amputation fragment
SRR3206872	Wildtype zone 2	posterior extent of the brain	Asexual CIW4	Amputation fragment
SRR3206873	Wildtype zone 2	posterior extent of the brain	Asexual CIW4	Amputation fragment
SRR3206874	Wildtype zone 3	anterior extent of the pharynx	Asexual CIW4	Amputation fragment
SRR3206875	Wildtype zone 3	anterior extent of the pharynx	Asexual CIW4	Amputation fragment
SRR3206876	Wildtype zone 4	posterior extent of the pharynx	Asexual CIW4	Amputation fragment
SRR3206877	Wildtype zone 4	posterior extent of the pharynx	Asexual CIW4	Amputation fragment
SRR3206878	Wildtype zone 5	midpoint between posterior pharynx and tail tip	Asexual CIW4	Amputation fragment
SRR3206879	Wildtype zone 5	midpoint between posterior pharynx and tail tip	Asexual CIW4	Amputation fragment
SRR3206880	Wildtype zone 6	last remaining piece of tail tip	Asexual CIW4	Amputation fragment
SRR3206881	Wildtype zone 6	last remaining piece of tail tip	Asexual CIW4	Amputation fragment
