Run	Condition	genotype	sample_name	treatment	developmental_stage	organism_part	source_name
SRR943468	N2 5' dependent	wild type	N2 5' dependent	5' polyphosphatase treated	Young Adult	whole organism	Total RNA whole animal
SRR943467	N2 5' independent	wild type	N2 5' independent	5' monophosphate only	Young Adult	whole organism	Total RNA whole animal
SRR943469	N2 TAP	wild type	N2 TAP	TAP treated	Young Adult	whole organism	Total RNA whole animal
SRR943470	N2 polyphosphatase	wild type	N2 polyphosphatase	5' polyphosphatase treated	Young Adult	whole organism	Total RNA whole animal
SRR943476	prde-1 TAP	prde-1 mutant	prde-1 TAP	TAP treated	Young Adult	whole organism	Total RNA whole animal
SRR943475	prde-1_1 5'dependent	prde-1 mutant	prde-1_1 5'dependent	5' polyphosphatase treated	Young Adult	whole organism	Total RNA whole animal
SRR943474	prde-1_1 5'independent	prde-1 mutant	prde-1_1 5'independent	5' monophosphate only	Young Adult	whole organism	Total RNA whole animal
SRR943478	prde-1_2 5' dependent	prde-1 mutant	prde-1_2 5' dependent	5' polyphosphatase treated	Young Adult	whole organism	Total RNA whole animal
SRR943477	prde-1_2 5' independent	prde-1 mutant	prde-1_2 5' independent	5' monophosphate only	Young Adult	whole organism	Total RNA whole animal
SRR943472	prg-1 5' dependent	prg-1 mutant	prg-1 5' dependent	5' polyphosphatase treated	Young Adult	whole organism	Total RNA whole animal
SRR943471	prg-1 5' independent	prg-1 mutant	prg-1 5' independent	5' monophosphate only	Young Adult	whole organism	Total RNA whole animal
SRR943473	prg-1 TAP	prg-1 mutant	prg-1 TAP	TAP treated	Young Adult	whole organism	Total RNA whole animal
